from_category,from_zone,to_category,to_zone,support,confidence,session_count
TRANSPORT,882a100a1dfffff,TRANSPORT,882a100d67fffff,0.0006396077072728727,0.96,24
TRANSPORT,882a10724bfffff,TRANSPORT,882a107251fffff,0.0011459638088638967,0.9148936170212766,43
TRANSPORT,882a100545fffff,TRANSPORT,882a100d2dfffff,0.0009860618820456786,0.8409090909090909,37
TRANSPORT,882a100a95fffff,TRANSPORT,882a100abbfffff,0.0009860618820456786,0.7872340425531915,37
RETAIL,882a10465dfffff,RESTAURANT,882a1054b3fffff,0.0005063561015910241,0.76,19
TRANSPORT,882a1072c1fffff,RETAIL,882a1072cdfffff,0.0009061109186365696,0.7083333333333334,34
TRANSPORT,882a100d9dfffff,TRANSPORT,882a1072c1fffff,0.0009860618820456786,0.6981132075471698,37
TRANSPORT,882a107467fffff,HOTEL,882a1072c1fffff,0.0008261599552274605,0.6595744680851063,31
RETAIL,882a1046adfffff,RETAIL,882a1046abfffff,0.0006129573861365029,0.6571428571428571,23
TRANSPORT,882a107251fffff,TRANSPORT,882a10724bfffff,0.0007728593129547211,0.5918367346938775,29
TRANSPORT,882a1072e7fffff,TRANSPORT,882a100d21fffff,0.0007995096340910908,0.5882352941176471,30
TRANSPORT,882a10710dfffff,TRANSPORT,882a100d2dfffff,0.0005596567438637635,0.5833333333333334,21
TRANSPORT,882a100d85fffff,TRANSPORT,882a100d67fffff,0.0008261599552274605,0.5166666666666667,31
HOTEL,882a10725bfffff,HOTEL,882a103b6bfffff,0.0008528102763638302,0.5161290322580645,32
HOTEL,882a100d65fffff,TRANSPORT,882a103b03fffff,0.001572368947045812,0.4957983193277311,59
TRANSPORT,882a107451fffff,RETAIL,882a100d2dfffff,0.0005863070650001332,0.44,22
HOTEL,882a100d2dfffff,HOTEL,882a100d29fffff,0.0006129573861365029,0.4339622641509434,23
TRANSPORT,882a100d09fffff,TRANSPORT,882a100d43fffff,0.0005330064227273938,0.4166666666666667,20
RESTAURANT,882a107253fffff,HOTEL,882a100d65fffff,0.0005863070650001332,0.4,22
RESTAURANT,882a107259fffff,RESTAURANT,882a107253fffff,0.0009327612397729393,0.3723404255319149,35
RETAIL,882a10549dfffff,RETAIL,882a10548bfffff,0.0006662580284092424,0.3333333333333333,25
TRANSPORT,882a100d21fffff,TRANSPORT,882a100d09fffff,0.0006396077072728727,0.3287671232876712,24
TRANSPORT,882a100dd3fffff,TRANSPORT,882a107643fffff,0.0005330064227273938,0.29850746268656714,20
TRANSPORT,882a100eb9fffff,TRANSPORT,882a100d2dfffff,0.001305865735682115,0.28823529411764703,49
TRANSPORT,882a100e83fffff,TRANSPORT,882a100eb9fffff,0.0005330064227273938,0.28169014084507044,20
TRANSPORT,882a103b03fffff,TRANSPORT,882a103b1dfffff,0.0014391173413639635,0.2465753424657534,54
TRANSPORT,882a100da7fffff,TRANSPORT,882a100eb9fffff,0.0005330064227273938,0.2127659574468085,20
TRANSPORT,882a1008d9fffff,TRANSPORT,882a10189bfffff,0.0005596567438637635,0.2079207920792079,21
RESTAURANT,882a1008b9fffff,RESTAURANT,882a1008bbfffff,0.0005063561015910241,0.20430107526881722,19
RETAIL,882a100d21fffff,RESTAURANT,882a100d23fffff,0.0006662580284092424,0.19083969465648856,25
TRANSPORT,882a100d67fffff,TRANSPORT,882a1008d9fffff,0.0010926631665911573,0.17154811715481172,41
RESTAURANT,882a100d35fffff,RESTAURANT,882a1072c9fffff,0.0013858166990912241,0.17105263157894737,52
LANDMARK,882a100d23fffff,RESTAURANT,882a100d27fffff,0.0007728593129547211,0.1657142857142857,29
RESTAURANT,882a100893fffff,RESTAURANT,882a10089bfffff,0.0005063561015910241,0.16521739130434782,19
RESTAURANT,882a100d35fffff,RESTAURANT,882a1072cbfffff,0.0011726141300002664,0.14473684210526316,44
TRANSPORT,882a100eb9fffff,TRANSPORT,882a100e83fffff,0.0006396077072728727,0.1411764705882353,24
RESTAURANT,882a1072c9fffff,RESTAURANT,882a100d35fffff,0.0014124670202275938,0.1358974358974359,53
RESTAURANT,882a100d65fffff,RESTAURANT,882a10725bfffff,0.0012259147722730058,0.12637362637362637,46
LANDMARK,882a100d67fffff,RESTAURANT,882a100d65fffff,0.0009061109186365696,0.12099644128113879,34
RESTAURANT,882a1072c9fffff,RESTAURANT,882a1072cbfffff,0.0012525650934093755,0.12051282051282051,47
RESTAURANT,882a1072c1fffff,RESTAURANT,882a1072cbfffff,0.0007995096340910908,0.12048192771084337,30
TRANSPORT,882a10725bfffff,RESTAURANT,882a100d65fffff,0.0007195586706819818,0.12,27
RESTAURANT,882a10725bfffff,RESTAURANT,882a100d65fffff,0.0010660128454547876,0.11940298507462686,40
RESTAURANT,882a1072cbfffff,RESTAURANT,882a100d35fffff,0.0011459638088638967,0.11716621253405994,43
RESTAURANT,882a100d23fffff,HOTEL,882a100d65fffff,0.0010127122031820483,0.1165644171779141,38
RESTAURANT,882a1072c1fffff,RESTAURANT,882a1072c9fffff,0.0007728593129547211,0.11646586345381527,29
RESTAURANT,882a100d29fffff,TRANSPORT,882a100d67fffff,0.0009061109186365696,0.11371237458193979,34
RESTAURANT,882a1072cbfffff,RESTAURANT,882a1072c9fffff,0.0010926631665911573,0.11171662125340599,41
RESTAURANT,882a100d61fffff,RESTAURANT,882a100d65fffff,0.0005330064227273938,0.10752688172043011,20
TRANSPORT,882a100d2dfffff,TRANSPORT,882a100eb9fffff,0.001199264451136636,0.1048951048951049,45
RESTAURANT,882a10721bfffff,RESTAURANT,882a1072cdfffff,0.0007728593129547211,0.10211267605633803,29
RESTAURANT,882a1072c1fffff,RESTAURANT,882a1072cdfffff,0.0006396077072728727,0.0963855421686747,24
TRANSPORT,882a100d67fffff,TRANSPORT,882a100d85fffff,0.0006129573861365029,0.09623430962343096,23
TRANSPORT,882a103b03fffff,RESTAURANT,882a100d23fffff,0.0005330064227273938,0.091324200913242,20
RESTAURANT,882a100d23fffff,RESTAURANT,882a1072c9fffff,0.0007728593129547211,0.08895705521472393,29
RESTAURANT,882a100d35fffff,RESTAURANT,882a100d23fffff,0.0007195586706819818,0.08881578947368421,27
TRANSPORT,882a103b03fffff,RESTAURANT,882a100d21fffff,0.0005063561015910241,0.0867579908675799,19
TRANSPORT,882a103b03fffff,RETAIL,882a100d21fffff,0.0005063561015910241,0.0867579908675799,19
TRANSPORT,882a100d2dfffff,RESTAURANT,882a100d67fffff,0.0009860618820456786,0.08624708624708624,37
RESTAURANT,882a100d25fffff,RESTAURANT,882a100d21fffff,0.0005863070650001332,0.0859375,22
RESTAURANT,882a100d2dfffff,RESTAURANT,882a100d29fffff,0.0006129573861365029,0.08013937282229965,23
RESTAURANT,882a100d25fffff,RESTAURANT,882a10721bfffff,0.0005330064227273938,0.078125,20
RESTAURANT,882a100d21fffff,RESTAURANT,882a100d25fffff,0.0007462089918183515,0.07526881720430108,28
RESTAURANT,882a10721bfffff,RESTAURANT,882a100d27fffff,0.0005596567438637635,0.07394366197183098,21
RESTAURANT,882a100d27fffff,RESTAURANT,882a1072cdfffff,0.0007995096340910908,0.07389162561576355,30
RESTAURANT,882a100d21fffff,RESTAURANT,882a100d23fffff,0.0007195586706819818,0.07258064516129033,27
RESTAURANT,882a100d29fffff,RESTAURANT,882a100d2dfffff,0.0005596567438637635,0.07023411371237458,21
